run_id,workflow_name,status,conclusion,created_at,updated_at,wall_clock_seconds,wall_clock_minutes,exec_seconds,exec_minutes,queue_seconds,queue_minutes,first_job_started,last_job_completed,head_branch,event,pr_number,label_group
23506309214,MZ-CI,completed,success,2026-03-24T18:38:31Z,2026-03-24T20:12:57Z,5666,94.4,5656,94.3,8,0.1,2026-03-24T18:38:39Z,2026-03-24T20:12:55Z,bugfix/t-avengers-XE-23568-fix-authserver-oracle-storage-type,pull_request,6172,mz-autotest+pe-autotest
23506302843,MZ-CI,completed,cancelled,2026-03-24T18:38:22Z,2026-03-24T18:38:35Z,13,0.2,7,0.1,5,0.1,2026-03-24T18:38:27Z,2026-03-24T18:38:34Z,bugfix/t-avengers-XE-23568-fix-authserver-oracle-storage-type,pull_request,6172,mz-autotest+pe-autotest
23506272506,MZ-CI,completed,cancelled,2026-03-24T18:37:39Z,2026-03-24T18:38:23Z,44,0.7,40,0.7,4,0.1,2026-03-24T18:37:43Z,2026-03-24T18:38:23Z,bugfix/t-avengers-XE-23568-fix-authserver-oracle-storage-type,pull_request,6172,mz-autotest+pe-autotest
23506262383,MZ-CI,completed,skipped,2026-03-24T18:37:24Z,2026-03-24T18:37:25Z,1,0.0,0,0.0,1,0.0,2026-03-24T18:37:25Z,2026-03-24T18:37:24Z,bugfix/t-avengers-XE-23568-fix-authserver-oracle-storage-type,pull_request,6172,mz-autotest+pe-autotest
23495818414,MZ-CI,completed,failure,2026-03-24T14:50:15Z,2026-03-24T14:57:07Z,412,6.9,335,5.6,77,1.3,2026-03-24T14:51:32Z,2026-03-24T14:57:07Z,feature/t-babelfish-mz94-dev-XE-22629-enable-changing-version,pull_request,6135,mz-autotest+pe-autotest
23495734235,MZ-CI,completed,cancelled,2026-03-24T14:48:33Z,2026-03-24T14:51:28Z,175,2.9,170,2.8,4,0.1,2026-03-24T14:48:37Z,2026-03-24T14:51:27Z,feature/t-babelfish-mz94-dev-XE-22629-enable-changing-version,pull_request,6135,mz-autotest+pe-autotest
23492249678,MZ-CI,completed,success,2026-03-24T13:35:33Z,2026-03-25T12:37:39Z,82926,1382.1,82921,1382.0,4,0.1,2026-03-24T13:35:37Z,2026-03-25T12:37:38Z,feat/gradle931,pull_request,6127,mz-autotest+pe-autotest
23491003015,MZ-CI,completed,success,2026-03-24T13:07:14Z,2026-03-24T14:39:03Z,5509,91.8,5504,91.7,4,0.1,2026-03-24T13:07:18Z,2026-03-24T14:39:02Z,t-l3-mz94-dev-XE-22303,pull_request,6168,mz-autotest+pe-autotest
23484653997,MZ-CI,completed,success,2026-03-24T10:25:25Z,2026-03-24T12:21:10Z,6945,115.8,6940,115.7,4,0.1,2026-03-24T10:25:29Z,2026-03-24T12:21:09Z,feat/gradle931,pull_request,6127,mz-autotest+pe-autotest
23482883110,MZ-CI,completed,success,2026-03-24T09:41:38Z,2026-03-24T11:12:59Z,5481,91.3,5478,91.3,3,0.1,2026-03-24T09:41:41Z,2026-03-24T11:12:59Z,t-l3-mz94-dev-XE-22303,pull_request,6168,mz-autotest+pe-autotest
23475171632,MZ-CI,completed,success,2026-03-24T05:48:56Z,2026-03-24T09:16:32Z,12456,207.6,5209,86.8,7246,120.8,2026-03-24T07:49:42Z,2026-03-24T09:16:31Z,t-darkside-develop-XE-19339-apl-loglevel-mzsh-command,pull_request,6142,mz-autotest+pe-autotest
23474802257,MZ-CI,completed,cancelled,2026-03-24T05:34:44Z,2026-03-24T05:34:45Z,1,0.0,0,0.0,0,0.0,,,t-l3-mz94-dev-XE-22303,pull_request,6168,mz-autotest+pe-autotest
23474802209,MZ-CI,completed,cancelled,2026-03-24T05:34:44Z,2026-03-24T05:34:46Z,2,0.0,0,0.0,1,0.0,2026-03-24T05:34:45Z,2026-03-24T05:34:45Z,t-l3-mz94-dev-XE-22303,pull_request,6168,mz-autotest+pe-autotest
23474802345,MZ-CI,completed,success,2026-03-24T05:34:44Z,2026-03-24T07:56:27Z,8503,141.7,4363,72.7,4138,69.0,2026-03-24T06:43:42Z,2026-03-24T07:56:25Z,t-l3-mz94-dev-XE-22303,pull_request,6168,mz-autotest+pe-autotest
